"iso","adm1","adm2","umd_tree_cover_extent_2010__ha","area__ha"
"USA",21,1,83742.431870080992305536,108731.023378744530503404
"USA",21,2,56212.360983656602862398,110002.083075915245369111
"USA",21,3,70443.509089888610705142,179462.785889100775608413
"USA",21,4,35648.849505588647857561,56069.986258111222979023
"USA",21,5,27498.110774419360119590,83309.681057635906196012
"USA",21,6,36689.084763073642951334,116885.748983545854071271
"USA",21,7,37609.988928802145469153,93315.293848303650787895
"USA",21,8,80417.290120206154189410,119222.285703049919604657
"USA",21,9,57942.466926384566195338,149061.908746275192855165
"USA",21,10,62128.732412379950077160,172459.462102309311466570
"USA",21,11,114862.713518659888403221,172342.922228508319457922
"USA",21,12,50994.070058051407122501,115840.911821460553239520
"USA",21,13,27867.727812923487862286,65124.347729235248755464
"USA",21,14,19460.449352080417874168,72746.928788207303209300
"USA",21,15,55547.415003595753660520,130135.228393907595030761
"USA",21,16,57885.412993340669463071,125963.797521852796463348
"USA",21,17,28471.011457027484987521,101067.493533467865201810
"USA",21,18,53952.019915006716284491,95062.137071306430196348
"USA",21,19,42245.627140844388604409,86392.294805167402600159
"USA",21,20,21703.690617961533473160,72032.082396364115982352
"USA",21,21,50284.038696609721871338,120762.480310545816272553
"USA",21,22,48120.876123730265081486,97661.343163868828978057
"USA",21,23,68468.188978325177774466,123193.498019264077780634
