"iso","adm1","adm2","umd_tree_cover_extent_2000__ha","area__ha"
"USA",21,1,87081.28143346269557114,108731.023378744530503404
"USA",21,2,62490.553204964910208465,110002.083075915245369111
"USA",21,3,77127.868031301495365048,179462.785889100775608413
"USA",21,4,38266.069015346305137513,56069.986258111222979023
"USA",21,5,27592.980231782983332086,83309.681057635906196012
"USA",21,6,37190.117735654180208008,116885.748983545854071271
"USA",21,7,39931.824885285728112248,93315.293848303650787895
"USA",21,8,84614.471358724696207516,119222.285703049919604657
"USA",21,9,54447.404011672979023861,149061.908746275192855165
"USA",21,10,63542.115479864806558771,172459.462102309311466570
"USA",21,11,121536.876633330413887525,172342.922228508319457922
"USA",21,12,54518.878305226868389011,115840.911821460553239520
"USA",21,13,31254.330795131531158974,65124.347729235248755464
"USA",21,14,19362.218766393887319552,72746.928788207303209300
"USA",21,15,64616.855611275988149687,130135.228393907595030761
"USA",21,16,67168.353500625800303992,125963.797521852796463348
"USA",21,17,28923.875899917716976950,101067.493533467865201810
"USA",21,18,57197.677555670708297982,95062.137071306430196348
"USA",21,19,37692.518736246005524626,86392.294805167402600159
"USA",21,20,21725.317776704952042165,72032.082396364115982352
"USA",21,21,52174.896463390344184289,120762.480310545816272553
"USA",21,22,46700.281793213215412421,97661.343163868828978057
"USA",21,23,63751.084372859951236737,123193.498019264077780634
